127.0.0.1 - - [20/Jul/2025:11:44:45 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [20/Jul/2025:11:44:47 +0530] "GET /Demo_MVC/Register.jsp HTTP/1.1" 200 2035
0:0:0:0:0:0:0:1 - - [20/Jul/2025:11:44:47 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Jul/2025:11:45:04 +0530] "POST /Demo_MVC/Controller HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jul/2025:11:45:04 +0530] "GET /Demo_MVC/Register.jsp HTTP/1.1" 200 2035
0:0:0:0:0:0:0:1 - - [20/Jul/2025:11:45:06 +0530] "POST /Demo_MVC/Controller HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jul/2025:11:45:06 +0530] "GET /Demo_MVC/View.jsp HTTP/1.1" 200 8155
0:0:0:0:0:0:0:1 - - [20/Jul/2025:11:45:06 +0530] "GET /Demo_MVC/Files/rope-8424503.jpg HTTP/1.1" 200 2296124
0:0:0:0:0:0:0:1 - - [20/Jul/2025:11:45:06 +0530] "GET /Demo_MVC/Files/tomatoes-8324940.jpg HTTP/1.1" 200 2335815
0:0:0:0:0:0:0:1 - - [20/Jul/2025:11:45:06 +0530] "GET /Demo_MVC/Files/AisDonkey.png HTTP/1.1" 200 783079
0:0:0:0:0:0:0:1 - - [20/Jul/2025:11:45:06 +0530] "GET /Demo_MVC/Files/inmakes1.png HTTP/1.1" 200 590052
0:0:0:0:0:0:0:1 - - [20/Jul/2025:11:45:56 +0530] "POST /Demo_MVC/Controller HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jul/2025:11:45:56 +0530] "GET /Demo_MVC/Update.jsp HTTP/1.1" 200 2330
0:0:0:0:0:0:0:1 - - [20/Jul/2025:11:45:56 +0530] "GET /Demo_MVC/Files/inmakes1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2025:11:46:05 +0530] "POST /Demo_MVC/Controller HTTP/1.1" 200 8163
0:0:0:0:0:0:0:1 - - [20/Jul/2025:11:46:05 +0530] "GET /Demo_MVC/Files/cardssssss.jpg HTTP/1.1" 200 74105
0:0:0:0:0:0:0:1 - - [20/Jul/2025:11:46:12 +0530] "GET /Demo_MVC/Register.jsp HTTP/1.1" 200 2035
